date,death,deathIncrease,hospitalizedIncrease,hospitalizedCurrently,negative,negativeIncrease,positive,positiveIncrease,totalTestResults,totalTestResultsIncrease
12/23/2020,317492,3393,4795,119463,56743142,304962,18367212,224526,241223878,1791481
12/22/2020,314099,3137,4567,117777,56438180,268046,18142686,193008,239432397,1770133
12/21/2020,310962,1480,3111,115358,56170134,439796,17949678,179406,237662264,1974590
12/20/2020,309482,1668,2382,113601,55730338,249266,17770272,197494,235687674,1821629
12/19/2020,307814,2708,3429,113914,55481072,200763,17572778,204873,233866045,1859539
12/18/2020,305106,2866,5214,113955,55280309,450795,17367905,241786,232006506,2193466
12/17/2020,302240,3465,5167,114492,54829514,246432,17126119,242970,229813040,1912697
12/16/2020,298775,3453,4776,113257,54583082,303846,16883149,234288,227900343,1839996
12/15/2020,295322,2924,4430,112816,54279236,316712,16648861,193218,226060347,1833138
12/14/2020,292398,1357,3461,110573,53962524,456078,16455643,193286,224227209,2010951
12/13/2020,291041,1501,2314,109298,53506446,299810,16262357,187251,222216258,1827310
12/12/2020,289540,2497,3789,108461,53206636,226203,16075106,226904,220388948,1919896
12/11/2020,287043,2747,5411,108101,52980433,350441,15848202,236933,218469052,1969509
12/10/2020,284296,3132,4450,107300,52629992,311589,15611269,220846,216499543,1967578
12/9/2020,281164,3169,5300,106671,52318403,378319,15390423,216728,214531965,1832545
12/8/2020,277995,2680,4410,104637,51940084,292335,15173695,217844,212699420,1690914
12/7/2020,275315,1291,3461,102122,51647749,268980,14955851,181897,211008506,1653269
12/6/2020,274024,1163,2311,101501,51378769,299693,14773954,182580,209355237,1675779
12/5/2020,272861,2486,3513,101192,51079076,356781,14591374,219070,207679458,2302086
12/4/2020,270375,2563,4654,101309,50722295,310521,14372304,230313,205377372,1918739
12/3/2020,267812,2822,5369,100746,50411774,306223,14141991,216271,203458633,1904020
12/2/2020,264990,2811,5238,100327,50105551,-658774,13925720,203429,201554613,1587969
12/1/2020,262179,2489,4916,98814,50764325,263699,13722291,181183,199966644,1494046
11/30/2020,259690,1037,3394,96134,50500626,344231,13541108,150031,198472598,1520240
11/29/2020,258653,825,2429,93357,50156395,226788,13391077,137254,196952358,1337135
11/28/2020,257828,1243,3485,91762,49929607,324413,13253823,151469,195615223,1675224
11/27/2020,256585,1404,3418,89913,49605194,384580,13102354,198874,193939999,1970528
11/26/2020,255181,1392,2333,90564,49220614,179941,12903480,129764,191969471,1467611
11/25/2020,253789,2281,4538,90043,49040673,394165,12773716,188496,190501860,1881059
11/24/2020,251508,2091,4685,88132,48646508,360586,12585220,166503,188620801,1873837
11/23/2020,249417,853,2835,85945,48285922,331207,12418717,154696,186746964,1671011
11/22/2020,248564,923,2291,83882,47954715,373855,12264021,154188,185075953,1818793
11/21/2020,247641,1551,3375,83346,47580860,376533,12109833,186385,183257160,2140465
11/20/2020,246090,1910,3903,82318,47204327,448167,11923448,197164,181116695,2004886
11/19/2020,244180,2010,4456,80669,46756160,324389,11726284,187932,179111809,1845354
11/18/2020,242170,1885,4352,79478,46431771,346915,11538352,168220,177266455,1701006
11/17/2020,240285,1553,3887,77047,46084856,300498,11370132,159826,175565449,1634272
11/16/2020,238732,607,2907,73320,45784358,249458,11210306,149977,173931177,1484630
11/15/2020,238125,712,1868,70202,45534900,400351,11060329,147062,172446547,1626437
11/14/2020,237413,1353,3468,69588,45134549,300446,10913267,167726,170820110,1785889
11/13/2020,236060,1301,3673,68585,44834103,331974,10745541,174633,169034221,1742559
11/12/2020,234759,1112,3562,67236,44502129,271550,10570908,157542,167291662,1607551
11/11/2020,233647,1577,3281,65549,44230579,283243,10413366,149333,165684111,1503560
11/10/2020,232070,1358,4070,62119,43947336,203377,10264033,135569,164180551,1386936
11/9/2020,230712,577,2176,59342,43743959,283666,10128464,118403,162793615,1314380
11/8/2020,230135,513,1467,56942,43460293,239635,10010061,112445,161479235,1266058
11/7/2020,229622,1125,2341,56037,43220658,357869,9897616,132113,160213177,1546164
11/6/2020,228497,1185,3121,55005,42862789,314445,9765503,129990,158667013,1772955
11/5/2020,227312,1154,2553,53380,42548344,302427,9635513,119023,156894058,1561062
11/4/2020,226158,1131,3107,52166,42245917,202598,9516490,105996,155332996,1318451
11/3/2020,225027,1517,3135,50509,42043319,255848,9410494,119949,154014545,1269152
11/2/2020,223510,475,1399,48750,41787471,283444,9290545,83454,152745393,1238898
11/1/2020,223035,410,1166,47615,41504027,228603,9207091,141974,151506495,1160138
10/31/2020,222625,958,2116,47486,41275424,325765,9065117,91293,150346357,1473444
10/30/2020,221667,947,2403,46880,40949659,206695,8973824,97942,148872913,1423126
10/29/2020,220720,1060,2321,46191,40742964,317094,8875882,89365,147449787,1453174
10/28/2020,219660,1047,2461,45214,40425870,265933,8786517,79700,145996613,1150428
10/27/2020,218613,922,2290,44391,40159937,220640,8706817,72255,144846185,1150455
10/26/2020,217691,397,1697,42988,39939297,268034,8634562,63430,143695730,1131572
10/25/2020,217294,391,1076,41883,39671263,268680,8571132,64471,142564158,1222362
10/24/2020,216903,896,1822,42087,39402583,259771,8506661,83792,141341796,1370239
10/23/2020,216007,949,2801,41614,39142812,304853,8422869,82575,139971557,1444382
10/22/2020,215058,1094,2229,41114,38837959,301777,8340294,72273,138527175,1305768
10/21/2020,213964,1051,2399,40397,38536182,201552,8268021,62856,137221407,1055928
